id,categoria,nombre,descripcion,precio,esVegano,sinTacc
1,Desayunos & Meriendas,AMELIA QUERIDA,Tostadas con dips para untar,9500,TRUE,FALSE
2,Desayunos & Meriendas,ELSITA,Bowl de frutas con yogur y granola,12500,FALSE,FALSE
3,Desayunos & Meriendas,ROSA ROSA TAN MARAVILLOSA,Dos medialunas o una vinoisserie del día,6200,TRUE,TRUE
4,Desayunos & Meriendas,SARA DE LEJOS,Tostadas huevos revueltos y palta grillada,12500,FALSE,TRUE
5,Desayunos & Meriendas,PARA ANA CON AMOR,Dos medialuna con jyq dos tostaditos de jyq,9700,FALSE,FALSE
6,Desayunos & Meriendas,AMADO JOAQUIN,Frutas quesos miel y almendras,13500,FALSE,TRUE
7,Desayunos & Meriendas,ADORADO FRAN,Pancakes con frutas pasta de maní y granola,12600,TRUE,TRUE
8,Desayunos & Meriendas,DIVINA LUCIA,Scon dulce con dips de curd de limón y mermelada,10500,TRUE,true 
9,Desayunos & Meriendas,ALEGRE AGUSTIN,Tostada con puré de palta tomate fresco y palta,10500,TRUE,true 
10,Desayunos & Meriendas,AMELITA DEL AMOR,Huevo escalfado en tomates cherry sal pimienta y aceite de oliva + tostada de pan de campo,10500,TRUE,true 
11,Desayunos & Meriendas,GARDENIAS COMPARTE CON VOS,Dos infusiones porción de tarta brownie porción de budín dos mini copas de yogur scon de queso scon de hierbas con trucha ahumada dos mini toston de jamón crudo y queso brie,37500,TRUE,true 
12,Adicionales,TRUCHA AHUMADA,,6000,FALSE,true 
13,Adicionales,JAMÓN CRUDO,,3500,FALSE,true 
14,Adicionales,JAMÓN COCIDO Y QUESO,,3100,FALSE,true 
15,Adicionales,PALTA,Media unidad,2800,TRUE,true 
16,Adicionales,TOMATE,,1300,TRUE,true 
17,Adicionales,ADICIONAL INFUSION,,2200,TRUE,true 
18,Adicionales,DIP,Queso crema mermelada crud de limon ddll frutos secos,1400,TRUE,true 
19,Delicias,MEDIALUNA DE MANTECA,,1500,TRUE,FALSE
20,Delicias,MEDIALUNA CON JAMÓN Y QUESO,,3900,TRUE,FALSE
21,Delicias,VINNOISERIE DEL DIA,,4400,TRUE,FALSE
22,Delicias,VINNOISERIE RELLENA,,5500,TRUE,true 
23,Delicias,PORCION DE BUDIN,,4500,TRUE,true 
24,Delicias,DELICIA,Limón y amapolas,4500,TRUE,true 
25,Delicias,BROWNIE,Chocolate blanco o nuez,4500,TRUE,true 
26,Delicias,ALFAJOR,Almendra & ddl,3300,TRUE,true 
27,Delicias,COCOSO,Alfajor de coco y ddl,3300,TRUE,true 
28,Delicias,SCON DEL DIA,Queso hierbas o dulce,3800,TRUE,true 
29,Delicias,CHIPA,,2800,TRUE,true 
30,Delicias,COOKIE,Almendra chocolate & manteca,3700,TRUE,true 
31,Postres & Tortas,FRUTOS ROJOS CON CREMA PASTELERA,Tarta,7200,TRUE,true 
32,Postres & Tortas,FROLA,Sablé de manteca relleno de membrillo y f. rojos,7200,TRUE,true 
33,Postres & Tortas,LEMON BIEN NUESTRA,Tarta,7200,TRUE,true 
34,Postres & Tortas,CRUMBLE DE MANZANAS Y ALMENDRAS,Tarta,7200,TRUE,true 
35,Postres & Tortas,KEY LIME PIE,Tarta,7200,TRUE,true 
36,Postres & Tortas,CUADRADO DE COCO CON DDL,,7200,TRUE,true 
37,Postres & Tortas,CHEESE DE LIMON CON FRUTOS DEL BOSQUE,Torta,7700,TRUE,true 
38,Postres & Tortas,CHOCOTORTA GDS,Bizcocho de chocolate chocolinas mousse de ddl y queso,7700,TRUE,true 
